city,cities
Bobo-Dioulasso,BOY
Banfora,BNR
Yambol,Iambol
Vratsa,Ivraca
Vidin,Vidin
Velingrad,Velingrad
Veliko Turnovo,Tarnovo
Varna,Barna
Targovishte,Eski Cuma
Troyan,Comuna Troian
Dobrich,Bazargic
Svishtov,Novae
Svilengrad,Cisri Mustafapasa
Stara Zagora,Eski Zagra
Dupnitsa,Doepnitsa
Sofia,SOF
Smolyan,Paschmaklii
Sliven,Islimiye
Silistra,Dristra
Shumen,Choumen
Sevlievo,Savlievo
Sandanski,Sandanski
Samokov,Samakov
Ruse,ROU
Razgrad,Rasgrad
Rakovski,General Niklaevo
Parvomay,Borisograd
Popovo,Popkioj
Plovdiv,Eumolpias
Pleven,Pleven
Petrich,Petric
Peshtera,Momarsko
Pernik,Dimitrovo
Pazardzhik,Pasardschik
Panagyurishte,Otalkioj
Nova Zagora,Eni Zagra
Montana,Ferdinand
Lovech,Lavech
Lom,Aligina Makhala
Kyustendil,Keustendil
Kardzhali,Exrdzhali
Haskovo,Chaskoi
Harmanli,Charmanlii
Kazanlak,Kasanlak
Karnobat,Karnabat
Karlovo,Grad Karlove
Gotse Delchev,Ano Nevrokopi
Gorna Oryahovitsa,GOZ
Gabrovo,Gabrava
Dimitrovgrad,Dimitrovgrad
Chirpan,Chirpan
Burgas,BOJ
Botevgrad,Botevgrad
Blagoevgrad,Blagoeugrad
Berkovitsa,Berkovica
Aytos,Aitos
Asparuhovo,Asparuhovo
Asenovgrad,Asenovgrad
Sitrah,Sitra
Madinat `Isa,Isa
Jidd Hafs,Djidd Hafs
Madinat Hamad,Hamad Town
Dar Kulayb,Dar Chulaib
Al Muharraq,Al Muharrak
Manama,Al Manama
Ar Rifa',Ar Rifa
Makamba,Makamba
Bururi,Bourouri
Bujumbura,BJM
Muramvya,Muramvya
Gitega,GID
Ruyigi,Rouginki
Ngozi,N'nkozi
Kayanza,Kayanza
Muyinga,Muhinga
Rutana,Routana
Tchaourou,Chauru
Tanguieta,Tangoueita
Save,SVF
Savalou,Savalou
Sakete,Sakete
Porto-Novo,Borto-Novo
Pobe,Ipobe
Parakou,PKO
Ouidah,Fortaleza de Sao Joao Baptista de Ajuda
Nikki,Nikki
Natitingou,NAE
Malanville,Malanvilem
Lokossa,Locossa
Ketou,Ketou
Kandi,KDC
Dogbo,
Djougou,DJA
Dassa-Zoume,Dassa Zume
Cove,Kove
Cotonou,Appi
Come,Come
Bohicon,Bohicon
Bembereke,Bembereke
Bassila,Bassila
Banikoara,Banikoara
Aplahoue,Aplahoue
Allada,Allada
Abomey-Calavi,Abome Calavi
Abomey,Abome
Gustavia,Goustavia
Hamilton,BDA
Tutong,Pekan Tutong
Seria,Seria
Kuala Belait,Belait
Bandar Seri Begawan,BWN
Yacuiba,BYC
Warnes,Warnes
Villazon,Vil'jason
Villa Yapacani,Villa Yapacani
Villamontes,VLM
Tupiza,Tupisa
Trinidad,Ciudad Trinidad
Tiquipaya,Taquipaya
Tarija,Ciudad Tarija
Sucre,Chuqichaka
Santiago del Torno,El Torno
Santa Cruz de la Sierra,Ciudad Santa Cruz
San Ignacio de Velasco,SNG
Sacaba,Sacaba
Riberalta,RIB
Quillacollo,Ciudad Quillacollo
Punata,Ciudad Punata
Potosi,Ciudad Potosi
Oruro,Ciudad Oruro
Montero,Monteras
Mizque,Ciudad Mizque
Llallagua,Llallagua
La Paz,A Paz
Huanuni,Huanuni
Guayaramerin,GYA
Cotoca,Cotoca
Cochabamba,CBB
Cobija,CIJ
Camiri,CAM
Bermejo,BJO
Ascencion de Guarayos,ASC
San Borja,SRJ
Kralendijk,Kralendajk
Vitoria do Mearim,Baixo Mearim
Vitoria de Santo Antao,Victoria
Viseu,Vizeu
Conde,Conde
Vigia,
Vicosa do Ceara,Vicosa
Vicosa,Assembleia
Viana,Viana
Varzea Alegre,Varzea Alegre
Varjota,
Vargem Grande,
Valenca do Piaui,Berlengas
Uniao dos Palmares,Uniao
Uniao,
Tuntum,Tumtum
Tucurui,Alcobaca
Tucuma,Tucuma
Trindade,
Trairi,Trahiry
Toritama,Toritama
Tome Acu,
Timon,Flores
Timbiras,Monte Alegre
Timbauba,Gurjao
Tiangua,Barracao
Teresina,Poti
Sao Joao dos Inhamuns,Sao Joao dos Inhamuns
Tamandare,
Tabira,Espirito Santo
Surubim,
Sousa,Souza
Soure,SFK
Solanea,Moreno
Sobral,Januaria de Acaracu
Sirinhaem,Serinhaem
Sertania,Alagoa de Baixo
Serra Talhada,SET
Senador Pompeu,
Satuba,
Sao Raimundo Nonato,Raimundo Nonato
Sao Miguel dos Campos,San-Migel'-dus-Kampus
Sao Miguel do Guama,Guama
Sao Mateus do Maranhao,
Sao Luis do Quitunde,Sao Luiz de Quitunde
Sao Luis,Maranham
Sao Lourenco da Mata,San-Lorensu-da-Mata
Sao Jose do Egito,Queimadas
Sao Jose de Ribamar,Ribamar
Sao Jose de Mipibu,Sao Jose Do Mipibu
Sao Joao dos Patos,
Sao Goncalo do Amarante,Anacetaba
Sao Felix do Xingu,SXX
Sao Domingos do Maranhao,Pucuma
Sao Bento,Sao Bento
Sao Bento,San-Bentu
Santa Rita,
Santarem,STM
Santa Quiteria do Maranhao,Bacuri
Santa Quiteria,
Santana do Ipanema,Sant'Anna do Ipanema
Santa Luzia,Santa Luzia
Santa Ines,Ines
Santa Helena,
Santa Cruz do Capibaribe,Capibaribe
Santa Cruz,Santa-Krus
Salinopolis,Salinas
Salgueiro,Salgejru
Russas,Rucas
Rio Largo,
Rio Formoso,
Ribeirao,
Recife,Arrecife
Quixeramobim,Nova Vila do Campo Maior
Quixada,
Presidente Dutra,Curador
Santana,Porto
Porto Calvo,
Portel,
Pombos,Sao Joao dos Pombos
Pombal,Pombal
Piripiri,Periperi
Piracuruca,
Pinheiro,PHI
Pindare Mirim,Engenho Central
Pilar,Manguaba
Picos,PCS
Petrolina,PNZ
Jatoba,Itaparica
Pesqueira,
Pentecoste,
Penalva,
Pedro II,Itamaraty
Pedra Branca,Pedra-Branka
Paulo Afonso,Barra
Paulista,Paulista
Patos,Patus
Parnamirim,Eduardo Gomes
Parnaiba,Feitoria
Parintins,PIN
Parelhas,
Paraipaba,Tigre
Paragominas,
Paracuru,
Palmares,Palmaris
Pacatuba,
Pacajus,Guarani
Ouricuri,Ouricury
Oros,Onos
Oriximina,ORX
Olinda,Olinda
Oeiras,Mocha
Obidos,OBI
Nova Russas,
Nova Cruz,
Nazare da Mata,Nazar-da-Mata
Natal,NAT
Murici,
Moreno,
Morada Nova,Espirito Santo
Monteiro,Alagoa do Monteiro
Monte Alegre,MTE
Mombaca,Maria Pereira
Moju,
Mossoro,MVF
Mocajuba,
Miracema do Tocantins,Cherente
Maues,MBZ
Matriz de Camaragibe,Matriz de Camaragibe
Mari,Araca
Marechal Deodoro,Alagoas
Maragogi,Gamela
Maracanau,
Maraba,MAB
Mamanguape,
Maceio,MCZ
Macau,Macao
Macapa,MCP
Macaiba,Macahyba
Limoeiro do Norte,Limoeiro
Limoeiro,
Lavras da Mangabeira,Lavras
Lajedo,Lagedo
Lago da Pedra,Lago da Pedra
Lagoa do Itaenga,
Juazeiro do Norte,JDO
Jose de Freitas,Livramento
Joao Pessoa,Cidade Felipea
Joao Camara,Baixa Verde
Jaguaruana,
Jaguaribe,Jaguaribe Mirim
Jaboatao,
Itupiranga,
Itacoatiara,ITA
Itaporanga,Misericordia
Itapissuma,Itapicuma
Itapipoca,Imperatriz
Itapecuru Mirim,Itapicuru
Itapage,Constituinte
Itaituba,ITB
Itaitinga,
Itabaiana,Itabayanna
Ipueiras,
Ipubi,Poco-Verde
Ipu,
Ipojuca,Ipozhuka
Imperatriz,IMP
Iguatu,QIG
Igarape Miri,Igarape Miry
Igarape Acu,Igarape-Assu
Igarassu,Igaracu
Ico,
Horizonte,Horizonte
Guaraciaba do Norte,Campo Grande
Guarabira,Guarabira
Guaiuba,Guayuba
Gravata,Gravata
Granja,
Grajau,Grajahu
Goiana,Gojana
Gloria do Goita,Gloria de Goyta
Garanhuns,Garan'juns
Gameleira,Camelleira
Fortaleza,Ceara
Floriano,Colonia
Floresta,Floresta
Eusebio,Ehusebio
Extremoz,Ehstremos
Estreito,Estreito
Esperantina,Boa Esperanca
Esperanca,
Escada,
Dom Pedro,Dom Pedro
Demerval Lobao,Dermeval Lobao
Delmiro Gouveia,Delmiro
Custodia,
Cururupu,CPU
Currais Novos,Curraes Novos
Cupira,Cupyra
Crato,Crato
Crateus,Cratheus
Coroata,Croata
Condado,Goianinha
Conceicao do Araguaia,CDJ
Colinas,Kolinas
Coelho Neto,Curralinho
Codo,Codo
Chapadinha,
Cha Grande,
Ceara Mirim,
Caxias,Caxias das Aldeias Altas
Caucaia,Soure
Catole do Rocha,Catule-do-Rocha
Catende,
Castanhal,Kastan'jal
Cascavel,
Caruaru,CAU
Carpina,Karpina
Carolina,CLN
Capitao Poco,
Capanema,
Caninde,Caninae
Canguaretama,Kanguaretama
Campos Sales,Campos Salles
Campo Maior,Kampu-Major
Campo Alegre,Campo Alegre do Mosquito
Campina Grande,CPV
Camocim,CMC
Cameta,CMT
Cajueiro,Cajueiro
Cajazeiras,Kazhazejras
Caico,Kajko
Cabrobo,
Cabo,Cabo
Cabedelo,Cabedello
Buriti Bravo,Burity Bravo
Buique,Buiki
Breves,BVS
Brejo Santo,Brejo dos Santos
Brejo da Madre de Deus,Madre de Deus
Braganca,
Bom Conselho,
Boa Viagem,
Bezerros,Bezerrus
Benevides,
Belo Jardim,Bello Jardim
Belem,Belem
Belem,BEL
Beberibe,Beberibe
Bayeux,
Baturite,
Barreiros,
Barreirinhas,BRB
Barras,Barras
Barra do Corda,BDC
Barcarena,
Barbalha,
Balsas,BSS
Bacabal,Bacabal
Augusto Correa,
Atalaia,
Areia Branca,
Arcoverde,Arkoverdi
Araripina,Araripina
Arari,Arary
Arapiraca,APQ
Araguaina,AUX
Aracati,ARX
Aquiraz,
Apodi,Apodi
Ananindeua,Ananindeua
Amaraji,Amaragi
Altos,
Altamira,ATM
Almeirim,Almeirim
Alenquer,ALT
Alagoa Grande,
Aguas Belas,Aguas Bellas
Agua Preta,
Afogados da Ingazeira,Afogados
Acu,Assu
Acopiara,Affonso Penna
Acarau,Acarahu
Abreu e Lima,Abreu e Lima
Abaetetuba,Abaete
Xique Xique,Chique-Chique
Xanxere,AXE
Votuporanga,VOT
Votorantim,Voturantim
Volta Redonda,V Redonda
Vitoria da Conquista,Conquista
Vitoria,VIX
Visconde do Rio Branco,Rio Branco
Viradouro,Viradoura
Vinhedo,Rocinha
Vila Velha,Vila Vela
Videira,Perdizes
Vicosa,Visoza
Viana,Jabaete
Viamao,Viaman
Vespasiano,
Veranopolis,Alfredo Chaves
Vera Cruz,Vera Cruz
Wenceslau Braz,Venceslau Braz
Venancio Aires,Venancia Ayres
Vazante,
Vassouras,Vasoras
Varzea Paulista,Secundino Veiga
Varzea Grande,Varzea Grande
Varzea da Palma,
Varginha,VAG
Vargem Grande do Sul,Santa Ana do Vargem Grande
Valparaiso,
Valinhos,Valin'jus
Valenca,Marques de Valenca
Valenca,VAL
Vacaria,Ibia'e
Uruguaiana,URG
Urucuca,Agua Preta
Uruacu,Sant'Anna
Uniao da Vitoria,UVI
Unai,Capim Branco
Una,UNA
Umuarama,UMU
Uberlandia,UDI
Uberaba,UBA
Ubatuba,UBT
Ubata,Dois Irmaos
Ubaitaba,Itapira
Uba,Uba
Tupancireta,Tupaceretan
Tupaciguara,Tupacyguara
Tupa,Tupa
Tucano,Ramphastinae
Tubarao,Tubaran
Trindade,Trindadi
Tres Rios,Entre-Rios
Tres Pontas,Tres-Pontas
Tres Passos,
Tres Lagoas,Lagoas
Tres de Maio,3 de Maio
Tres Coroas,Ibicacu
Tres Coracoes,Tres Coracoes
Tremembe,
Tramandai,Tramandahy
Torres,Torres
Toledo,TOW
Tobias Barreto,Campos
Timoteo,Timofej
Timbo,
Tijucas,Tizhukas
Tiete,Tiete
Teutonia,
Teresopolis,Terezopolis
Teofilo Otoni,TFL
Teodoro Sampaio,Teodoru-Sampaju
Telemaco Borba,TEC
Taubate,Taubate
Tatui,Tatuhy
Taquarituba,Taquari
Taquaritinga,Takuaritinga
Taquari,Takuari
Taquara,
Tapiramuta,Espera d'Anta
Tapes,Porto de Tapes
Tangua,
Tanabi,Tanaby
Tambau,Tambahu
Taiobeiras,Tajobejras
Taboao da Serra,Tabuao da Serra
Suzano,Susano
Sumare,RWS
Sorocaba,SOD
Soledade,
Socorro,Soccorro
Sobradinho,Sobradinho
Simao Dias,Anapolis
Silva Jardim,Capivari
Sidrolandia,
Sete Lagoas,Sete Lagoas
Sertaozinho,
Serrinha,
Serra Negra,
Serrana,
Serra,Serra
Seropedica,Seropedika
Senhor do Bonfim,SEI
Senador Canedo,
Seabra,Doutor Seabra
Schroeder,Joaquim Wolf
Saubara,
Sarzedo,
Sarandi,Colonia Sarandy
Sarandi,
Saquarema,
Sapucaia,Acapucai
Sapiranga,Sapyranga
Sao Vicente,San Visente
Sao Sepe,
Sao Sebastiao do Passe,Sao Sebastiao
Sao Sebastiao do Paraiso,San-Sebast'jan-du-Paraiso
Sao Sebastiao do Cai,Cai
Sao Sebastiao,San-Sebast'jan
Sao Roque,
Sao Pedro da Aldeia,San-Pedru-da-Aldeja
Sao Pedro,San-Pedru
Sao Paulo,SAO
Sao Miguel do Iguacu,Gaucha
Sao Miguel do Araguaia,SQM
Sao Mateus do Sul,San-Mateus-du-Sul
Sao Mateus,SBJ
Sao Marcos,Sao Marecas
Sao Manuel,San-Manuehl'
Sao Luiz Gonzaga,Sao Luiz
Sao Luis de Montes Belos,
Sao Lourenco do Sul,SQY
Sao Lourenco,SSO
Sao Leopoldo,San-Leopoldu
Sao Jose dos Pinhais,San-Zhoze-dus-Pin'jajs
Sao Jose dos Campos,SJC
Sao Jose do Rio Preto,Rio Preto
Sao Jose do Rio Pardo,
Sao Jose,Sao Jose
Sao Joaquim da Barra,Sao Joaquim
Sao Joaquim,Sao Joaquim da Costa da Serra
Sao Joao Nepomuceno,San-Zhuan-Nepomuseno
Sao Joao de Meriti,Meriti
Sao Joao del Rei,JDR
Sao Joao da Boa Vista,
Sao Joao da Barra,San-Zhuan-da-Barra
Sao Jeronimo,Sao Jeronymo
Sao Gotardo,Sao Gothardo
Sao Goncalo do Sapucai,Sao Goncalo
Sao Gabriel,
Sao Francisco do Sul,San Francisco del Sur
Sao Francisco do Conde,San-Fransisku-du-Konde
Sao Francisco,San-Fransisku
Sao Fidelis,
Sao Cristovao,San Kristovanas
Sao Carlos,QSC
Sao Caetano do Sul,QCX
Sao Borja,JBS
Sao Bernardo do Campo,QSB
Sao Bento do Sul,San-Bentu-du-Sul
Santos Dumont,Palmyra
Santos,Baixada Santista
Santo Estevao,
Santo Antonio do Monte,
Santo Antonio do Amparo,
Santo Antonio de Posse,Posse
Santo Antonio de Padua,Santo Antonio do Padua
Santo Antonio de Jesus,
Santo Antonio da Platina,Santo Antonio da Platino
Santo Angelo,GEL
Santo Andre,Santo Andre
Santo Anastacio,
Santo Amaro da Imperatriz,Cambirela
Santo Amaro,Santo Amaro da Purificacao
Santiago,Sant'jago
Santa Vitoria do Palmar,CTQ
Santa Rosa de Viterbo,Icaturama
Santa Rosa,SRA
Santa Rita do Sapucai,Porto Sapucahy
Santa Rita do Passa Quatro,Santa Rita
Santana do Paraiso,Santana-du-Paraiso
Santana do Livramento,LVB
Santana de Parnaiba,Parnahyba
Santa Maria da Vitoria,Santa Maria
Santa Maria,RIA
Santa Luzia,Santa Lucia
Santaluz,Santa Luiza
Santa Isabel,Santa Izabel
Santa Helena de Goias,Helena de Goias
Santa Gertrudes,
Santa Fe do Sul,SFV
Santa Cruz do Sul,CSU
Santa Cruz do Rio Pardo,
Santa Cruz das Palmeiras,Palmeiras
Santa Cruz Cabralia,Santa Cruz
Santa Cecilia,
Santa Barbara d'Oeste,Santa Barbara d'Oeste
Salvador,Bahia
Salto de Pirapora,
Salto,Sal'to
Salinas,Salinas
Sacramento,Sakramentu
Ruy Barbosa,Ruy Barbosa
Rubiataba,
Rosario do Sul,Rosario
Rondonopolis,ROO
Rolante,
Rolandia,Caviuna
Rio Verde de Mato Grosso,Coronel Galvao
Rio Verde,RVD
Rio Real,Barracao
Rio Pardo,Poaca
Rio Negro,
Rio Negrinho,QNE
Rio Grande da Serra,
Rio Grande,RIG
Rio do Sul,Itajahy do Sul
Rio de Janeiro,Ciutat de Rio de Janeiro
Rio das Pedras,
Rio das Ostras,
Rio Claro,QIQ
Rio Brilhante,Caiuas
Rio Branco do Sul,Rio Branco
Rio Bonito,
Ribeirao Preto,Entre Rios
Ribeirao Pires,
Ribeirao das Neves,Neves
Ribeirao da Ilha,Ribeirao
Ribeira do Pombal,Canabrava de Santa Teresa de Jesus dos Quiriris
Riachao do Jacuipe,Riachao
Resplendor,Resplendor
Resende,QRZ
Registro,
Regente Feijo,
Rancharia,
Quirinopolis,
Queimados,
Quatro Barras,
Quarai,Kuarai
Prudentopolis,
Propria,
Promissao,
Presidente Venceslau,Presidente Wenceslau
Presidente Prudente,PPB
Presidente Epitacio,Presidente Epistacio
Prata,
Praia Grande,Praja Grande
Prado,PDF
Pouso Alegre,PPY
Posse,
Porto Uniao,Porto Uniao
Porto Seguro,BPS
Porto Ferreira,Porto Ferreiro
Porto Feliz,Portu-Felis
Porto Alegre,POA
Portao,
Porangatu,Descoberto
Pontes e Lacerda,LCB
Ponte Nova,
Ponta Pora,PMG
Pontal,
Ponta Grossa,PGZ
Pompeu,Concecao do Pompeo
Pompeia,
Pomerode,Rio do Testo
Pocos de Caldas,POO
Pocone,Pecone
Pocoes,Djalma Dutra
Poa,
Planaltina,Alta Mir
Piuma,
Piui,Piumhy
Pitangui,Pitanguy
Pitangueiras,
Pitanga,Pitanga
Piritiba,Cinco Vargens
Pires do Rio,Pires-du-Riu
Piraquara,Piraguara
Pirapozinho,
Pirapora,PIV
Pirajui,Pirajuhy
Piraju,
Pirai do Sul,Pirahy
Pirai,Pirahy
Pirassununga,Pirassinunga
Piracicaba,Piracicaba
Piracanjuba,Pouso Alto
Piracaia,
Pinheiral,Pinheiro
Pinhao,
Espirito Santo do Pinhal,Espirito Santo do Pinhal
Pindobacu,Pindobassu
Pindamonhangaba,Pindamon'jangaba
Pilar do Sul,Pilar
Piedade,
Petropolis,Petropolis
Peruibe,Peruhybe
Pereira Barreto,Novo Oriente
Perdoes,
Penha,Pen'ja
Penedo,Sao Francisco
Penapolis,Penapolis
Pelotas,PET
Pedro Leopoldo,
Pedreira,Pedreiras
Pedra Azul,Fortaleza
Pederneiras,
Paulinia,Paulinia
Patrocinio,Patrosiniu
Patos de Minas,POJ
Pato Branco,PTO
Paty do Alferes,Pati-du-Alferis
Posto da Mata,Posto da Mata
Passos,PSW
Passo Fundo,PFB
Parobe,
Paraty,Paraty
Paranavai,Fazenda Ivai
Paranapanema,Bom Successo
Paranaiba,PBB
Paranagua,PNG
Paraiba do Sul,Parahyba do Sul
Paraguacu Paulista,Araguacu
Paraguacu,Paraguassu
Para de Minas,Para
Paracatu,Parakatu
Paracambi,Paracambi
Panambi,Pindorama
Palotina,
Palmital,
Palmeira das Missoes,Palmeira
Palmeira,Palmejra
Palmas,Pal'mas
Palhoca,Pal'osa
Paicandu,Paissandu
Padre Bernardo,Barroca
Ouro Preto,Oro Pretas
Ouro Branco,
Ourinhos,OUS
Osvaldo Cruz,
Osorio,Conceicao do Arroio
Osasco,Osasku
Orleans,Orleans
Orlandia,
Oliveira,Olivejra
Olimpia,Olimpija
Novo Horizonte,
Novo Hamburgo,Novo Amburgo
Nova Vicosa,Maroba
Nova Venecia,
Nova Prata,Caibate
Nova Petropolis,
Nova Olimpia,
Nova Odessa,
Nova Lima,Nova Lima
Nova Iguacu,Nova Iguacu
Nova Granada,Novo Granaoa
Nova Friburgo,Nova Friburgo
Nova Era,Presidente Vargas
Nossa Senhora do Socorro,Contiguiba
Nossa Senhora da Gloria,
Niteroi,Nictheroi
Niquelandia,NQL
Nilopolis,Nilopolis
Neropolis,Neropolis
Nepomuceno,
Nazare,Nazar
Navirai,Navirai
Navegantes,NVT
Nanuque,Indiana
Muzambinho,
Muritiba,Muritiba
Muriae,Muriae
Mucuri,MVS
Morro do Chapeu,Morro de Chapeo
Morro Agudo,
Morrinhos,
Montes Claros,MOC
Monte Santo de Minas,Monsanto
Montenegro,Chernogorija
Monte Mor,
Monte Carmelo,Monte Carmello
Monte Azul Paulista,Monte Azul
Monte Aprazivel,
Monte Alto,Mons Altus
Mongagua,
Mogi Mirim,Mogi-Mirim
Mogi Guacu,Mogi-Guacu
Mogi das Cruzes,Mogy das Cruzes
Mococa,QOA
Mirandopolis,Comandante Arbues
Miracema,Mirasema
Mineiros,
Miguel Pereira,
Miguelopolis,
Mendes,
Medianeira,Medianejra
Medeiros Neto,
Maua,Maua
Matozinhos,Mattosinhos
Mateus Leme,Matheus Leme
Matao,Mattao
Mata de Sao Joao,Mata-de-San-Zhuan
Mascote,
Martinopolis,Jose Teodoro
Maringa,MGF
Marilia,MII
Marica,
Mariana,Mariana
Marialva,
Marechal Candido Rondon,General Rondon
Marau,
Marataizes,
Maragogipe,Maragojipe
Maracas,
Maracaju,Maracaju
Manhumirim,
Manhuacu,Man'juasu
Mangaratiba,Mangalatiba
Mandaguari,Lovat
Mairipora,Mairipora
Mairinque,Majrinki
Mafra,Mafra
Machado,
Macatuba,Bocaiuva
Macae,MEA
Luziania,Luzilandia
Lucas,Flexas
Louveira,
Lorena,Lorena
Londrina,LDB
Loanda,Luanda
Livramento do Brumado,Liveramento do Brumado
Lins,Albuquerque Lins
Linhares,Lin'jaris
Limeira,Limeira
Leopoldina,LEP
Lencois Paulista,Lencoes
Leme,Lem
Lavras,Lavras
Laranjeiras do Sul,Iguacu
Laranjeiras,Larangeiras
Laranjal Paulista,Laranjal
Lapa,Lapa
Lajinha,Laginha
Lages,LAJ
Lajeado,Costao
Laguna,Laguna
Lagoa Vermelha,Lagoa-Vermel'ja
Lagoa Santa,Lagoa-Santa
Lagoa da Prata,
Lagarto,
Ladario,
Jundiai,Jundiahy
Julio de Castilhos,Julio do Castilhos
Juiz de Fora,JDF
Juatuba,
Jose Bonifacio,
Joinville,JOI
Joao Pinheiro,Zhuan-Pin'ejru
Joao Monlevade,Joao
Joacaba,Cruzeiro
Jeremoabo,Geremoabo
Jequitinhonha,Sao Miguel de Jequitinhonha
Jequie,JEQ
Jau,Jahu
Jatai,JTI
Jarinu,
Jardinopolis,
Jardim,Vuon
Jaragua do Sul,Jaragua
Jaragua,Zaragua
Japeri,
Januaria,JNA
Jandira,
Jandaia do Sul,Jandaia
Janauba,
Jales,JLS
Jaguariuna,Jaguari
Jaguariaiva,Jaguariahyva
Jaguarari,Jaguarary
Jaguarao,
Jaguaquara,
Jacutinga,
Jacobina,JCM
Jaciara,
Jacarezinho,Jacaresinho
Jacarei,Jacarehy
Jaboticabal,Jaboticabal
Ivoti,Bom Jardim
Ituverava,
Iturama,Camelia
Itupeva,
Itumbiara,ITR
Ituiutaba,Itijutaba
Itubera,ITE
Itu,Itu
Itororo,Itapui
Itauna,Itauna
Itatinga,Sao Joao de Itatinga
Itatiba,
Itarare,Itarare
Itaqui,ITQ
Itaquaquecetuba,Itaquaquicetuba
Itapuranga,Xixa
Itapolis,
Itapira,Itapira
Itapevi,Itapevy
Itapeva,Faxina
Itapetininga,Itapetinga
Itapetinga,Itatinga
Itaperuna,ITP
Itaperucu,
Itapemirim,Itapemirin
Itapema,Itapema
Itapecerica da Serra,Itapecerica
Itapecerica,
Itaparica,
Itapaci,
Itaocara,Itacoara
Itanhaem,Itan'jaehn
Itambe,
Itamarandiba,Itamarandyba
Itamaraju,
Itajuipe,Pirangi
Itajuba,Itazhuba
Itajai,Itajahi
Itai,Itahy
Itaguai,Itaguai
Itabuna,ITN
Itaborai,Itaborahy
Itabirito,
Itabira,Itabira
Itaberai,Itaberahy
Itaberaba,
Itabaianinha,Itabayanninha
Itabaiana,
Irece,IRE
Irati,Iraty
Iracemapolis,Iracemopolis
Ipora,Ipora
Ipira,Camisao
Ipiau,IPU
Ipero,
Ipatinga,IPN
Ipameri,Ipamery
Ipaba,
Inhumas,
Indaiatuba,Indaiatuba
Indaial,Indaval
Imbituva,Santo Antonio de Imbituva
Imbituba,Henrique Lage
Ilheus,IOS
Ilha Solteira,ILB
Ilhabela,Formosa
Ijui,IJU
Iguape,Bom Jesus da Ribeira
Igrejinha,Igrezhin'ja
Igarape,
Igarapava,
Igaracu do Tiete,Igarassu
Icara,Aliatar
Ibotirama,Bom Jardim
Ibiuna,Una
Ibitinga,
Ibirite,Ibirite
Ibirataia,Tesouras
Ibirama,Hammonia
Ibipora,Sao Pedro de Alcantara
Ibicarai,Palestina
Ibia,Sao Pedro d'Alcantara
Ibate,Ibaete
Ibaiti,Barra Bonita
Iacu,Iassi
Hortolandia,Hortolandia
Herval,Erval
Gurupi,GRP
Guaxupe,
Guarulhos,GRU
Guaruja,Guaruzha
Guariba,
Guaratuba,
Guaratingueta,GUJ
Guararema,
Guararapes,
Guarapuava,GPB
Guarapari,GUZ
Guaranesia,Guarnesia
Guaramirim,Bananal
Guara,
Guapore,Guaporema
Guapimirim,Guapimirin
Guanhaes,
Guanambi,GNM
Guaira,Guahyra
Guacui,Guasui
Gravatai,Gravatahy
Governador Valadares,Figueira
Goiatuba,Bananeiras
Goias,Goaiz
Goianira,Gojanira
Goiania,Ciutat de Goiania
Goianesia,
Gaspar,Gaspar
Garibaldi,
Garca,
Gandu,Gandu
Frutal,Fructal
Frederico Westphalen,
Franco da Rocha,Francisco da Rocha
Francisco Morato,
Francisco Beltrao,Beltran-Francisko
Franca,FRC
Foz do Iguacu,Fos do Iguasu
Forquilhinha,Forkil'in'ja
Formosa,Formosa
Formiga,Formiga
Florianopolis,Destero
Flores da Cunha,
Ferraz de Vasconcelos,
Fernandopolis,
Feira de Santana,FEC
Farroupilha,
Eunapolis,
Euclides da Cunha,Cumbe
Estrela,
Esteio,
Estancia Velha,Genuino Sampaio
Estancia,
Esplanada,
Espinosa,ESI
Esmeraldas,Ehsmeral'das
Erechim,Boa Vista do Erechim
Entre Rios,Nossa Senhora dos Prazeres do Inhambupe
Encruzilhada do Sul,Encruzilhada
Encantado,
Embu Guacu,Imbu-Guacu
Embu,Ehmba
Eloi Mendes,Eloy Mendes
Duque de Caxias,Caxias
Dourados,DOU
Dom Pedrito,
Dois Vizinhos,Dojs-Vizin'jus
Dois Corregos,Dous Corregos
Divinopolis,DIQ
Diamantino,Alto Paraguai do Diamantino
Diamantina,DTI
Diadema,Diadema
Descalvado,
Curvelo,Curvello
Curitibanos,Curitybanos
Curitiba,CWB
Cuiaba,CGB
Cubatao,
Cruzeiro do Oeste,Cruzeiro do Norte
Cruzeiro,Kruzejru
Cruz das Almas,
Cruz Alta,CZB
Cristalina,Cristalino
Criciuma,CCM
Cravinhos,
Coxim,Herculanea
Cotia,Cutia
Cosmopolis,
Coruripe,Cururipe
Corumba,CMG
Coronel Vivida,
Coronel Fabriciano,Koronel-Fabrisianu
Coromandel,Koromandel
Cornelio Procopio,CKO
Corinto,Corintho
Cordeiropolis,Cordeiro
Cordeiro,
Contagem,Kontazhen
Conselheiro Lafaiete,Conselheiro Lafaiete
Congonhas,Congonhas do Campo
Conde,Itapicuru de Baixo
Concordia,CCI
Conchal,Konshal
Conceicao do Coite,Coite
Conceicao do Jacuipe,Concaicao do Jacuipe
Conceicao das Alagoas,
Conceicao da Feira,
Conceicao da Barra,Barra de Sao Mateus
Colorado,
Colombo,Kolombo
Colatina,Colatina
Coaraci,Guaraci
Claudio,
Cicero Dantas,Bom Conselho
Cianorte,Cianorte
